id_str,hs_beto
1747300752475730129,"[{'label': 'LABEL_0', 'score': 0.9999117851257324}]"
1747297783743197385,"[{'label': 'LABEL_0', 'score': 0.9988625049591064}]"
1747292672232931781,"[{'label': 'LABEL_0', 'score': 0.9998273849487305}]"
1747046404873175457,"[{'label': 'LABEL_0', 'score': 0.9999501705169678}]"
1747291200812400862,"[{'label': 'LABEL_1', 'score': 0.8396030068397522}]"
1747290395032142059,"[{'label': 'LABEL_0', 'score': 0.9997922778129578}]"
1747290326476226858,"[{'label': 'LABEL_0', 'score': 0.9997888207435608}]"
1747287065300017356,"[{'label': 'LABEL_0', 'score': 0.9999040365219116}]"
1747286327123423546,"[{'label': 'LABEL_0', 'score': 0.9998121857643127}]"
1747284157691035981,"[{'label': 'LABEL_0', 'score': 0.9994692206382751}]"
1747270229523370181,"[{'label': 'LABEL_1', 'score': 0.9996261596679688}]"
1747269528143454681,"[{'label': 'LABEL_1', 'score': 0.9995633959770203}]"
1747254626791903317,"[{'label': 'LABEL_1', 'score': 0.8814963102340698}]"
1747252762742780074,"[{'label': 'LABEL_1', 'score': 0.9981472492218018}]"
1747242402375463158,"[{'label': 'LABEL_0', 'score': 0.9997487664222717}]"
1747240691053232383,"[{'label': 'LABEL_0', 'score': 0.9998798370361328}]"
1747153247696015782,"[{'label': 'LABEL_1', 'score': 0.9997346997261047}]"
1747114851883716742,"[{'label': 'LABEL_0', 'score': 0.5229976773262024}]"
1747113274146001066,"[{'label': 'LABEL_0', 'score': 0.9837744235992432}]"
1747109221697540208,"[{'label': 'LABEL_0', 'score': 0.9987105131149292}]"
1747104883994423494,"[{'label': 'LABEL_0', 'score': 0.9859583973884583}]"
1747100121844641863,"[{'label': 'LABEL_0', 'score': 0.9999433755874634}]"
1747094621241458876,"[{'label': 'LABEL_0', 'score': 0.9979156851768494}]"
1746921934678331409,"[{'label': 'LABEL_1', 'score': 0.9989689588546753}]"
1747077459973927359,"[{'label': 'LABEL_0', 'score': 0.9994122982025146}]"
1747076543719805276,"[{'label': 'LABEL_0', 'score': 0.9996955394744873}]"
1747062638809419989,"[{'label': 'LABEL_1', 'score': 0.9996100068092346}]"
1747049101978456106,"[{'label': 'LABEL_0', 'score': 0.9998747110366821}]"
1747044699473314265,"[{'label': 'LABEL_0', 'score': 0.9998061060905457}]"
1747042202428076039,"[{'label': 'LABEL_0', 'score': 0.9998925924301147}]"
1747037481529229671,"[{'label': 'LABEL_0', 'score': 0.9998629093170166}]"
1747037338440499598,"[{'label': 'LABEL_0', 'score': 0.9996141195297241}]"
1747023336733876377,"[{'label': 'LABEL_0', 'score': 0.9999349117279053}]"
1746855321421623411,"[{'label': 'LABEL_0', 'score': 0.999834418296814}]"
1747020399773167652,"[{'label': 'LABEL_0', 'score': 0.9999209642410278}]"
1747011548927688829,"[{'label': 'LABEL_1', 'score': 0.9994139671325684}]"
1747007584253407529,"[{'label': 'LABEL_0', 'score': 0.9221640229225159}]"
1746972204049269056,"[{'label': 'LABEL_0', 'score': 0.9997639060020447}]"
1746970836676886906,"[{'label': 'LABEL_0', 'score': 0.9998581409454346}]"
1746968984463819039,"[{'label': 'LABEL_0', 'score': 0.9997268319129944}]"
1746961147008303305,"[{'label': 'LABEL_0', 'score': 0.7115994691848755}]"
1746960317668561009,"[{'label': 'LABEL_0', 'score': 0.999933123588562}]"
1746945769007919473,"[{'label': 'LABEL_0', 'score': 0.9998499155044556}]"
1746944918054973613,"[{'label': 'LABEL_0', 'score': 0.9996519088745117}]"
1746943177108459994,"[{'label': 'LABEL_1', 'score': 0.9988771080970764}]"
1746940942962045048,"[{'label': 'LABEL_0', 'score': 0.9998130202293396}]"
1746931885463220731,"[{'label': 'LABEL_0', 'score': 0.9996938705444336}]"
1746929704886513986,"[{'label': 'LABEL_0', 'score': 0.9995889067649841}]"
1746925432790794574,"[{'label': 'LABEL_0', 'score': 0.9998718500137329}]"
1746894348367581588,"[{'label': 'LABEL_0', 'score': 0.9998975992202759}]"
1746894345364447603,"[{'label': 'LABEL_0', 'score': 0.9998849630355835}]"
1746891854463770786,"[{'label': 'LABEL_0', 'score': 0.999607503414154}]"
1746887596708438072,"[{'label': 'LABEL_0', 'score': 0.9999105930328369}]"
1746848950160707666,"[{'label': 'LABEL_0', 'score': 0.9999157190322876}]"
