id_str,sustantivos_robertuito
1747300752475730129,"['kg', 'orto', 'sobrepeso', 'peso', 'altura', 'peso']"
1747297783743197385,"['años', 'tendencias', 'sobrepeso', 'boca']"
1747292672232931781,"['tabla', 'pediatra', 'años']"
1747046404873175457,"['huevo', 'kg', 'lista', 'hadid']"
1747291200812400862,"['curiosidad', 'gente', 'kilos', 'veces', 'placer', 'comida', 'tiempo', 'plato', 'dedos']"
1747290395032142059,"['lista', 'sobrepeso']"
1747290326476226858,['cuadro']
1747287065300017356,"['dioss,,,es', 'azucar', 'fibra', 'minerales', 'OBESIDAD', 'BANANA']"
1747286327123423546,"['razón', 'médico', 'kg']"
1747284157691035981,"['obesidad', 'persona', 'deciciones', 'hora', 'deciciones', 'resto', 'argentinos', 'bolsa', 'trigliceridos', 'sueldo']"
1747270229523370181,"['plata', 'hombre', 'mina', 'hijos', 'hijos', 'problema', 'mujer']"
1747269528143454681,"['mina', 'videos', 'imagen']"
1747254626791903317,"['necesidad', 'nena']"
1747252762742780074,"['gordura', 'pete']"
1747242402375463158,"['morfi', 'peso']"
1747240691053232383,[]
1747153247696015782,[]
1747114851883716742,"[' ', 'emoji', 'manos', 'oración', ' ', 'manos', 'oración', ' ', 'emoji', 'manos', 'oración']"
1747113274146001066,"['panadería', 'heladería', 'rato', 'helados', 'cosas', 'panadería', 'tortas', 'biscochos', 'grasa', 'palitos', 'obeso', ' ']"
1747109221697540208,['serio']
1747104883994423494,"['vecina', 'chapa']"
1747100121844641863,"['GOL', 'STREAMER', 'SOBREPESO']"
1747094621241458876,"['mayoría', 'país', 'razón', 'obesidad']"
1746921934678331409,"['hija', 'puta']"
1747077459973927359,"['mamertos', 'altura', 'gente', 'película', 'realidad']"
1747076543719805276,"['años', 'peso']"
1747062638809419989,['pedazo']
1747049101978456106,"['obesidad', 'enfermedad', 'persona', 'agua', 'gaseosa', 'coca', 'cola', 'gente', 'lado', 'abusos', 'gente']"
1747044699473314265,"['crítica', 'gente', 'lugar', 'niño', 'diabético', 'familia', 'tiempo', 'angustia', 'reloj', 'información', 'salud', 'cálidad', 'vida', 'metabolismo']"
1747042202428076039,"['gente', 'gaseosas', 'azucar', 'alfajores', 'arroz', 'calorías', 'montón', 'calorías', 'obesidad', 'consumidór']"
1747037481529229671,"['tema', 'peso', 'pluma', 'lástima', 'peso', 'pluma']"
1747037338440499598,[]
1747023336733876377,"['obesidad', 'control', 'glucémico', 'exceso', 'azúcares']"
1746855321421623411,"['obesidad', 'ley', 'octógonos']"
1747020399773167652,"['sobrepeso', 'gastritis', 'mayoría', 'frutas', 'verduras', 'médico', 'cosas', 'teoría', 'estómago', 'veneno']"
1747011548927688829,"['mujer', 'hija', 'obesidad', ' ', 'emoji', 'cara', 'emoji', ' ', 'emoji', 'símbolos', 'boca', 'emoji']"
1747007584253407529,"['casos', 'custodia', 'negligencia', 'multa', 'tenencia', 'adulto', 'nene', 'culpa', 'nena']"
1746972204049269056,"['arquero', 'borde', 'retiro', 'sobrepeso', 'ganas', 'contras']"
1746970836676886906,"['mayoria', 'diputados', 'senadores', 'mundo', 'salud', 'educación', 'hambre', 'medialunas', 'mitad', 'sobrepeso', 'vuelos', 'alojamiento']"
1746968984463819039,"['años', 'tendencia', 'sobrepeso', 'calidad', 'vínculo', 'presidente', 'club']"
1746961147008303305,['obesidad']
1746960317668561009,"['vida', 'culpa', 'gordura', 'plato', 'ravioles', 'domingo', 'BOBO']"
1746945769007919473,"['favor', 'realidad', 'obeso']"
1746944918054973613,['futbolista']
1746943177108459994,"['amiga', 'vecinos', 'culpa', 'frío', 'verano', 'inmundicia']"
1746940942962045048,"['kg', 'kg', 'kg', 'volumen', 'kg', 'musculo', 'crema', 'mani', 'volumen']"
1746931885463220731,"['colesterol', 'obesidad']"
1746929704886513986,"['libertario', 'sobrepeso', 'barba']"
1746925432790794574,['cara']
1746894348367581588,"['2023', 'clase', 'fármacos', 'peso', 'resultados', 'diabetes', 'años', 'GLP-1', 'obesidad', 'interés', 'comunidad', 'científica']"
1746894345364447603,"['emoji', 'índice', 'derecha', 'emoji', 'medicamento', 'causas', 'obesidad', 'genéticas', 'riesgos', 'peligro', 'vida', 'cardiopatías', 'diabetes', 'artritis', 'enfermedades', 'tabaquismo', 'tipos', 'cáncer']"
1746891854463770786,"['trabajo', 'sobrepeso', 'tráfico']"
1746887596708438072,"['rotura', 'ligamentos', 'ejemplo', 'exjugadores', 'momento', 'sobrepeso', 'bolsillos', 'hambre', 'gloria', 'favor', 'foquitas']"
1746848950160707666,"['técnica', 'volumen', 'intensidad', 'ejercicios', 'problemas']"
1746800892752306391,"['lástima', 'larvas', 'cucarachas', 'dignidad', 'chavestia', 'hambre', 'caterva', 'narcos', 'cara', 'cosa', 'sociedad', 'todo']"
1746763855638761746,"['Bolívar', ' ', 'emoji', 'manos', 'piel', 'emoji', ' ', 'emoji', 'manos', 'piel', 'emoji', ' ', 'emoji', 'manos', 'piel', 'emoji']"
1746736922452451715,"['sanciones', 'gordura', 'grasa', 'amigo']"
1746730759300284697,"['trolos', 'chetas', 'obesos', 'tribuna', 'orto', 'gente']"
1746721224825176352,[]
1746715238177689916,"['circulación', 'gordura']"
1746712909483282944,"['gente', 'rombos', 'etiquetado', 'alimentos', 'fumadores', 'foto', 'marquilla']"
1746711825834479896,"['vacaciones', 'rey', 'rey', 'rey', 'monarca']"
1746711597827920369,"['barrio', 'trío', 'mina', 'sobrepeso', 'palos', 'santelmo']"
1746698270766674195,"['cuerpos', 'persona']"
1746696767133913466,"['obesidad', 'microbioma', 'gatos']"
1746689759269843203,"['abuela', 'meses', 'señora']"
1746686645208813962,"['secta', 'pacientes', 'mano', 'señal', 'victoria', 'tono', 'piel']"
1746683558456971451,"['sobrepeso', 'hijo', 's']"
1746676564274581995,"['años', 'culpa', 'obesidad', 'plato', 'ravioles', 'domigo', 'guanacos']"
1746674809394680079,"['punto', 'veces', 'mano', 'discriminación', 'niño', 'sobrepeso', 'hábitos', 'cosa']"
1746669916139192329,"['niñez', 'alimentación', 'sellos', 'antofagasta', 'índices', 'sobrepeso', 'obesidad', 'enfermedades', 'vez', 'aumento', 'tasa', 'niñ', 'condición', 'sedentarismo']"
